ID,Sports,Interview Text,Speaker,Type,Labels
40,Baseball,"Well, I wouldn't expect the worst strikeout Team to be in the World Series, you know what I'm saying? So I expect them to be good and they are really good.",GERRIT COLE,Team,4
41,Golf, You've had an incredible season this year.  What do you put it down to?  You've been winning almost every other week.,COLIN CALLANDER,Individual,2
42,Lacrosse,"First of all, I'll certainly give Salisbury the credit they deserve.  I thought they played a very good game today, very disciplined on offense, and their defense played tight all day.  I give them a lot of credit.",JAKE COON,Team,4
43,Tennis," Oh, absolutely.  What can I tell you? Three days, I have been all day in the place here trying to play some tennis.  Finally I could go out yesterday for a couple of hours to get something.",BORIS BECKER,Individual,7
44,Basketball,"  The snarl?  I kind of just did it.  I've never really made that face before, like ever in my really entire life.  Kind of just happened in the midst of things, in the moment.",TYLER HERRO,Team,7
45,Tennis," I don't know.  I haven't played on stadium.  But compared to the other courts, it is slower, yeah.  It is a little bit difficult for a serve and volley player to play well there.",RICHARD KRAJICEK,Individual,2
46,Baseball,"I echo that. When you have a place that you're proud of that you can go and say, This is such a beautiful field, let's all meet there, let's get together, the camaraderie, it's just amazing.",HEIDI WATNEY,Team,5
47,Golf,"  I'm definitely going to take some time off again.  I took a couple days off before this event, spend it with family.  I'm turning 23 on Wednesday and I don't know what I'm going to do yet.",BIANCA PAGDANGANAN,Individual,7
48,Lacrosse,"I'll second that.  They are tremendous players but even better people off the field.  I mean, just their leadership and their charisma is very easy to follow.",PJ CLEMENTI,Team,5
49,Tennis," Oh.  He is going to be tough.  I mean, he is very good player.  He is the top player.  So it is going to be tough.",CEDRIC PIOLINE,Individual,6
50,Tennis," I am not really looking that far ahead, playing Michael.  Right now I'm concerned about playing Enqvist and I will worry about it when the time comes.",PETE SAMPRAS,Individual,6
51,Volleyball,"Well, blocking against Jazz Sweet is pretty frustrating, I'm not going to lie but I think we did a pretty good job of staying patient. They were going to get there but we weren't going to get too frustrated.",MOLLY HAGGERTY,Team,2
52,Auto Racing,"All of them. I feel great, ready to go. This is exactly what I needed to get through here and get a little momentum built up. So feel good about all of them. ",JOEY LOGANO,Blended,5
53,Baseball,"  Well, I guess to me, it just means that I played on some very good Teams, that's all.  Fortunate to be on the Teams that have made it this far.",MATT WILLIAMS,Team,5
54,Baseball,"Obviously, there's measures in this contract that allow for the club to extend the payouts a few extra years in the contract that allows the immediacy of their payroll in the current year is where it has more flexibility.",SCOTT BORAS,Team,7
55,Baseball,"Of course. That's always going to help. And, again, like I said before, every Team here is looking for starters because you can never have enough. That's just a fact.",CHARLIE MONTOYO,Team,1
56,Baseball,"I truly believe -- we had opportunities today. We've been doing really well, driving in runs with men in scoring position; it just didn't happen today. So we'll come back tomorrow.",DAVE MARTINEZ,Team,4
57,Tennis, To early to get in any kind of sense for me.  I don't think I have that much of a feel for the tournament yet.,JIM COURIER,Individual,7
58,Cricket,"No, we're not practicing that, but I have some knowledge about that. So we share the knowledge with the girls, and we take the decisions -- I talk to keeper and bowler and one senior player. That's it.",CHAMARI ATHAPATHTHU,Team,1
59,Golf, I would say so.  Obviously depends on what we get tomorrow.  But I think these are the conditions you expect when you come over here.,ANNIKA SORENSTAM,Individual,6
60,Golf," Well, the 15 majors, but obviously that would be something very, very special.  I think so, yeah.  But hopefully before I get to 15, I'm up at 90.",ANNIKA SORENSTAM,Individual,2
61,Volleyball,"Yeah, it's a good question. I'm not the hiring authority, so I don't know, but I think it's important that we have really strong women in positions of leadership in our sport.",HUGH McCUTCHEON,Team,7
62,Tennis, I dived because I had to get the point and there was a little bit of luck and I got it.,CARLOS COSTA,Individual,2
63,Baseball,"I'm actually looking at him right now, he just walked in my office. We haven't talked yet. I'm going to find out his status. He's going to talk to you in a few minutes.",DAVE MARTINEZ,Team,3
64,Tennis," Yeah, I would definitely say so.  The approaches are also difficult to play in this kind of windy conditions, but still, I think it gives her more problems to pass me than for me coming in.  That is for sure.",HELENA SUKOVA,Individual,2
65,Football,  You don't get a chance to know each other too well.  The thing I know about him is he is a great leader for his football Team and he is a great player.,JOSH HEUPEL,Team,2
66,Auto Racing,"There was a lot of things that could happen with lap cars, him guessing wrong, me being able to run the bottom or run the top or get a good run or something along those lines. It never materialized. ",KEVIN HARVICK,Blended,2
67,Baseball,"Marisnick? Jake is an impact defender, he's got some base running skills that we can utilize hitting in front of the pitcher. He's got a little bit of history with Corbin, having done pretty well with him.",AJ HINCH,Team,2
68,Golf,"  It was fun.  It's nice having my brother on the bag, but it's cool.  This is the first time dad has caddied for me since I've been on tour.",AUSTIN ERNST,Individual,7
69,Tennis," Obviously, it didn't.  Usually I play pretty well when I have an injury, but normally I don't make it a habit.",STEFFI GRAF,Individual,3
70,Hockey,I think we obviously have to respond from last night.  It's always about what's in front of you.  Whatever is behind is in the past.  You have no control over it.,PATRICE BERGERON,Team,5
71,Basketball,"  Yeah, you know, we realized what they were doing defensive-wise, so we had a much better offensive output in this game, move the ball, move the ball, move the ball, and skew their defense.",BILL LAIMBEER,Team,1
72,Auto Racing,"Yeah, to be honest, we haven't talked all about it. I know he had a great run. I think we all respect his career beyond just that. Yeah, just trying to get better.",CHASE ELLIOTT,Blended,7
73,Baseball,"No, for me, he just got -- he starts the game, he gets a little quick. But then he settled down for a little bit and then Chirinos hit a good change-up.",DAVE MARTINEZ,Team,2
74,Golf,  Probably on 16.  That was the longest putt that I holed today.  It was kind of across the green down there by the water.,PERNILLA LINDBERG,Individual,2
75,Tennis," No.  Each one wants to do the best she can.  But we don't think ""I want to be better than my sister.""  Each one wants to do the best she can, but for herself.",MANUELA MALEEVA-FRAGNIERE,Individual,5
76,Golf," Absolutely.  I'd like to see Michelle, although I didn't want her to win on Sunday because I wanted to win, but as it turned out neither of us won; obviously Karrie won.",LAURA DAVIES,Individual,5
77,Football,Michigan State was a physical Team.  They dominated us in all three aspects of the game.  I thought they were a really well coached Team and physical throughout all four quarts.,UNIDENTIFIED SPEAKER,Team,4
78,Baseball,"Well, we feel like we're -- two years ago now this next year we feel like coming into this next season that's going to be the goal. It should be when you have won back-to-back 97-game seasons.",BOB MELVIN,Team,6
79,Volleyball,"I agree with everything they said. I couldn't have asked for a better senior year, and I'm just so thankful for everyone (tearing) Texas A&M volleyball has a really bright future and I'm excited to watch.",HOLLAND HANS,Team,5
80,Baseball,"Yeah, absolutely, I got a couple to fix up about my mechanic, and I want to work this offseason about that.",JOSE URQUIDY,Team,2
81,Tennis," Not many people would, but if someone starts to mention, hey, this and that the other, I say listen I could careless.",JIM COURIER,Individual,7
82,Hockey,"Yeah, that line's been great for us whenever they're together.  Robby came in, brought some speed, some legs.  Looked pretty good.",ALEX PIETRANGELO,Team,2
83,Tennis, Not particularly.  I think surface probably suits him a little more than it suits me.  Probably more comfortable on this than he is on grass.,WALLY MASUR,Individual,2
84,Baseball,"Obviously very proud to have followed Fernando Valenzuela, obviously something historic, and something that I'm obviously very happy about, very happy to have followed him and to have done what I've done today.",JOSE URQUIDY,Team,5
85,Football,I don't know about it is remarkable.  I think it is a testament of what people can endure or persevere.,JOSH HEUPEL,Team,5
86,Golf,"Well, you're right, he was good in the No. 1 spot.  He was playing well, he likes to play fast, he was comfortable playing in the No. 1 spot.  Get out there and go, you know.",CURTIS STRANGE,Individual,2
87,Baseball,"Enjoy it. Honestly, it's stuff you gotta go through. I got a lot of advice from friends of mine. Kevin Cash, he's one of them. Something you gotta go through.",CHRIS WOODWARD,Team,5
88,Football,"  Well, I don't know if that's true or what it is.  I think preparation and opportunity, those two things combine, good things happen.",JOSH HEUPEL,Team,5
89,Basketball,"  Definitely feel a certain level of disconnection.  When you're here, you very much feel like you're in a bubble and kind of secluded and separated from the outside world.",DUNCAN ROBINSON,Team,7
90,Tennis, Is this the best win that you have ever had against a big player or have you beaten another top player?,RICHARD FINN,Individual,2
91,Tennis,"  I tell you tomorrow.  It is nothing knew to me.  I mean, I have been playing singles, doubles, mixed doubles at the tournaments, so it is no different than any other tournament.",HELENA SUKOVA,Individual,7
92,Golf," I will ask Tiger the same question after being the lead now at 6-under.  Some thoughts on your round today, and if you could go through your round card, if you don't mind.",JULIUS MASON,Individual,2
93,Basketball,"  You know, just being aggressive.  Taking the same shots that I took last game, and just having confidence in that.  My Teammates have confidence in me to score the ball.",ALYSHA CLARK,Team,2
94,Tennis," There was a serve.  It is difficult from the other side to judge a serve, but I felt it was out.",STEFFI GRAF,Individual,2
95,Baseball,"And one more thing to add, the humidors don't really address the issue of drag. The humidors will affect the coefficient of restitution, but sort of the topic of drag isn't likely to be impacted by that.",PEKO HOSOI,Team,7
96,Football,"  I think what everybody sees in them, they are very athletic.  They don't give up a lot of big plays and they make good plays.",JOSH HEUPEL,Team,2
97,Tennis, I am just going to let the Europeans do it because we are on deadline and if we want to go back to English we can.,RICHARD FINN,Individual,7
98,Lacrosse,"No, I don't think so.  He's a good defender, and I mean, I only one scored goal, so he did his job, I guess, and he played his position well.",RYAN LEE,Team,2
99,Auto Racing,"It was pretty clear??̻<U+0080><U+0091>cut. The 21 hung a left, drove those guys down below the line. We called that twice on the 22 car during the race, so nothing different there.",SCOTT MILLER,Blended,8
100,Football,"Well, it's obviously a different experience.  Something that I'll definitely remember.  Something  that I'll look back on with fond memories.",JOSH HEUPEL,Team,5
101,Baseball,"Melanie, thank you so much. I want to echo as well your dad, truly amazing and inspiring, Mike. Definitely want to thank him for all of his efforts, and obviously your whole family. So thank you.",JON SCIAMBI,Team,5
102,Lacrosse,"Again, an incredible look by Matt Moore.  He did the grit, and I just saw a shooting lane and I took it.  But Matt Moore did an incredible job, eyes up, and to see the player he's become is incredible.",IAN LAVIANO,Team,2
103,Cricket,"Obviously we played a lot of world-class Teams in this tournament. But this performance would probably be one to remember by the players themselves, giving them motivation, and also for the fans back home as well.",SORNNARIN TIPPOCH,Team,4
104,Baseball,"They positioned themselves pretty well. But we hit some balls hard. Trea hit a couple balls hard today, actually three balls hard. We've just got to keep battling.",DAVE MARTINEZ,Team,2
105,Tennis,"  It feels pretty good.  It is always good to win a Grand Slam title even in mixed.  I think very special and you only have so many chances to win them, they are good to take.",TODD WOODBRIDGE,Individual,4
106,Baseball,My mom is someone that I talk to a lot and obviously she helped me out this morning. We had coffee. Just gave me some words of encouragement.,JOSE URQUIDY,Team,7
107,Basketball,He's been vital to our run up to this point.  There's no question about that.  We are not here without him playing at such a high level.,FRANK VOGEL,Team,2
108,Baseball,"Good afternoon, everyone. I have a couple of topics that I would like to cover and then obviously I will take questions, some of which I may answer.",ROB MANFRED,Team,1
109,Tennis,I am just very happy to be there.  It is just -- it is no time to be surprised or not to be surprised.,HELENA SUKOVA,Individual,7
110,Tennis," He's going to come out swinging, he's got a really nice backhand and he's been playing well all week, and I hope I can put the pressure on him and serve like I did today and we'll see what happens.",PETE SAMPRAS,Individual,6
111,Golf,I will still working on the same thing because like the first two hole I keep thinking about the outcome and I don't have good commitment at all.,ARIYA JUTANUGARN,Individual,2
112,Baseball,"  I thought to myself, I said, I tried to get a pitch to hit and he made a good pitch.  That was a fastball and I handled it.",DANNY BAUTISTA,Team,2
113,Golf,"  It was a good settler.  I felt like I started fine, a little bit more steady than yesterday, so to roll that birdie in was good to gain some momentum for the rest of the day.",ALLY MCDONALD,Individual,4
114,Basketball,"  I'm doing the same thing.  I'm gassing him up.  I feel like I'm putting that battery in his back.  There's a lot of times I tell him, ""Don't pass.""",BAM ADEBAYO,Team,5
115,Cricket,"I think that's an Individual thing. Players have to pick themselves up. Management or anyone can go out and give advice, but at the end of the day, it's up to the player to go out there and execute.",ANISA MOHAMMED,Team,5
116,Baseball,"Let me just add to that, that when Lloyd says we have no idea, you could interpret that to mean that nobody in this world has any idea because, if Lloyd doesn't know, then nobody knows. (Laughter.)",ALAN NATHAN,Team,7
117,Lacrosse,"Obviously you can always shut the short.  So maybe give them something different.  Coach Conry was like  Nope, we're sticking to who we are and what we're all about.",COACH TILLMAN,Team,5
118,Tennis," When I am out there, it feels like it would be nice to know that I am a serving a little bit better and not miss easy shots at breakpoints, or game points or whatever.",MATS WILANDER,Individual,4
119,Tennis," When you win a few matches, I beat good players, then you get more confidence and then you know that you can beat good players.  So that has happened a lot.",THOMAS ENQVIST,Individual,4
120,Baseball,"It's not what I want to be here talking about. And hopefully when AJ gets in here, he'll get back to talking about Game 3 and this series.",JEFF LUHNOW,Team,8
121,Auto Racing,"To be honest with you, that probably helped distract me through the majority of the week. Just being able to talk about something else, not being so caught up in a points situation.",ALEX BOWMAN,Blended,8
122,Hockey,"Yeah, it's been a long year, up and down.  All worth it in the end.  Obviously a little bonus scoring that goal last night, too.",CARL GUNNARSSON,Team,4
123,Tennis," Yeah, not really-- and after they broke us, she got very confident.  She started to psych up and going for the shots.",NATASHA ZVEREVA,Individual,2
124,Baseball,He felt something when he went to block that ball in his hip flexor. We don't know the severity of it yet. We'll know more tomorrow. But it is his right hip flexor.,DAVE MARTINEZ,Team,3
125,Baseball,"ORLANDO HERNANDEZ (Through Leo Astacio)   I have given thought to everyone on their Team.  Luis Gonzalez, he's a member of that Team and I have thought about all of them.",CURT SCHILLING,Team,7
126,Golf,"  Yeah, well, I knew that today playing in the morning, especially early, was going to be much more difficult than yesterday, as was shown by the scores yesterday morning.",LINDSEY WEAVER,Individual,4
127,Tennis," First, to rest, then I will see what other tournaments I will be playing and if it is Australia or not.",MARIA JOSE GAIDANO,Individual,6
128,Basketball,"  Yeah, obviously that opportunity helps, but I'm just getting out there and seizing the opportunity and knowing that I need to make plays in order for us to be successful.",KELLY OLYNYK,Team,1
129,Basketball,"  You know, that's a great question.  I think the biggest thing is for me just studying the game, realizing what my strengths are and what Teams are trying to take away from my game.",KYLE KUZMA,Team,1
130,Baseball,"He was a very smart player, and now he can share the knowledge he has with the players that he's going to manage. Carlos was always well respected, well received, and I know he will be there, as well.",JOE GIRARDI,Team,7
131,Golf,"  I've never managed to find a comfort zone on this golf course.  It amazes me, but I think that's a tribute to how great of a design it is.",BETH DANIEL,Individual,8
132,Lacrosse,"Congratulations to Wesleyan, and Coach Raba a tremendous game.  It was a battle for 60 minutes.  They got the best of us today, but we battled till the end, and I'm very proud of the Seagulls.",JIM BERKMAN,Team,4
133,Tennis," The Other Side of Midnight, and Memory -- Memories, something like that.  Two books of Sidney Sheldon.  So I finish them up.  So I don't have any  more to read.  I have to buy new ones.",ARANTXA SANCHEZ VICARIO,Individual,7
134,Baseball,"Hi, everybody. I'm Jon Sciambi, and it is my pleasure to welcome you all to this year's announcement of the 8th annual Winter Meetings Charity Auction. So thanks for being here. Appreciate it.",JON SCIAMBI,Team,7
135,Baseball,"Andy is fully recovered and has started maybe some light hitting. He's on a regular schedule. He'll be without any sort of setback in any area, he'll be 100 percent full go in Spring Training.",DON MATTINGLY,Team,3
136,Tennis,A lot of different and for the last days I played with some juniors because there is no more big players.,CEDRIC PIOLINE,Individual,7
137,Volleyball,"Yeah, I agree with what both of them said. I think this is a really great way for us to go out, and to go out with this group of people who happen to be some of our best friends.",MORGAN HENTZ,Team,4
138,Tennis," I cannot think about that right now. Actually, my dream was to play one more good Grand Slam and retire and maybe it is coming true.",MANUELA MALEEVA-FRAGNIERE,Individual,2
139,Cricket,"It was really something that's been in the works for a little bit. I've sort of changed around my strategy going into, I guess, T20 cricket.",GEORGIA WAREHAM,Team,1
140,Golf,I feel great right now.  What a beautiful day to play golf.  Braved the last two holes to kind of get myself back in the game.,ROSIE JONES,Individual,4
141,Golf,I try not to watch my competitors anyway.  I try not to watch what they do all that much anyway.,BILLY MAYFAIR,Individual,1
142,Golf,"Probably so.  Actually he makes all sizes.  I know that my waist is a 30, but in his clothes I'm a 32, so it makes me feel a little bigger.",CHARLES HOWELL III,Individual,7
143,Baseball,"The field crew at University of Arizona, they were my best buds. Johnny O., he was the director, he still is today. And the mound was absolutely gorgeous, the grass, there wasn't one flaw. So definitely University of Arizona.",JENNIE FINCH,Team,7
144,Volleyball,"First, just congratulations to Minnesota on a great season. They're a great Team. We saw them early and they definitely presented some unique challenges.",KEVIN HAMBLY,Team,4
145,Cricket,Not really. We were just worrying about today. We knew that going in I guess there wasn't any reserve day. Hopefully the forecast changes. I've seen that happen before. And hopefully we get two really good semifinals in.,MEG LANNING,Team,6
146,Golf,You're obviously one of the leading players on the LET at the moment.  Does that put extra pressure on you coming in this week against players from America?,COLIN CALLANDER,Individual,4
147,Baseball,"Yeah, it's definitely uncharted territory. And I'm just trying to continue to do what I've tried to do all year, is just take it one day at a time and just listen to the body.",STEPHEN STRASBURG,Team,1
148,Baseball,"Yeah, because that's not coming from the players on the field. The players on the field, it's their job to guard against the players on the field. You can't guard against technology and players off the field.",JOE GIRARDI,Team,8
149,Tennis,"Gee, this is a Lisa Raymond -- Natasha Zvereva press conference. I don't know. Frankly, I don't know. I don't think anything lacking. She is playing good.",NATASHA ZVEREVA,Individual,2
150,Tennis,I had injured it the Friday just before the Monday at San Diego the tournament practicing.  I would probably say it affects me most definitely running.  On my serve and my backhand.,MARY PIERCE,Individual,3
151,Baseball,"Well, right now, based on what the organization make the move, we hired -- they hired him, before I got here, to be the closer. So that's something that we have to talk about.",CARLOS BELTRAN,Team,7
152,Baseball,"Yeah, I appreciate the question. I think a lot -- people have spoken on this. I've spoken on this, I addressed it right away. Jeff just spoke.",AJ HINCH,Team,8
153,Volleyball,"The key for them is clearly Plummer. If she's good, then that creates space for everyone else. Everyone else can take a little breath. If they have to lean on everyone else, it gets a little bit different.",HUGH MCCUTCHEON,Team,5
154,Baseball,"We're excited to have with us a number of players who were named to the first and second Teams. Join me in welcoming the All-MLB second Team, designated hitter of the Houston Astros, Yordan Alvarez is with us.",GREG AMSINGER,Team,7
155,Cricket,"I think I will not miss cricket -- I mean, I'll be involved because I can't stay away from this. And somehow I'll be involved with cricket.",SHASHIKALA SIRIWARDENE,Team,7
156,Hockey,"You know, I can't say we practice it a ton.  We talk about power play, that sort of thing.  Then defending also I think is something we cover and talk about.",RYAN O'REILLY,Team,1
157,Golf,"  I think I definitely left  -- I did yesterday, as well.  You know, one of my  -- one of my things about this golf course is that I just don't read those greens well.",BETH DANIEL,Individual,4
158,Golf,"  Yeah, so coming from KPMG I was extremely happy with my long game from tee to green, but the putts were not really dropping that week.",PERNILLA LINDBERG,Individual,2
159,Golf,"  Is that aggressive?  (Laughs.) No, I think I played pretty well.  I'm getting it in the fairway, and then I really hit some good iron shots today.",KARRIE WEBB,Individual,4
160,Baseball,Very happy with the home run. Obviously today all my Teammates were saying today is your day. Today is your day. And it happened so obviously very happy about it.,YORDAN ALVAREZ,Team,5
161,Tennis," I think I was very tired -- I was tired because I have been all the week with diarrhea, because the food here is not very good for me.  I was very tired, the whole match.",SERGI BRUGUERA,Individual,2
162,Tennis," Yeah, a big surprise.  I was really surprised about; especially Jennifer yesterday.  I knew she had a tough match yesterday.  It wasn't going to be easy, but I didn't think she was going to lose.",GABRIELA SABATINI,Individual,4
163,Golf," When the rankings were first released, she was ranked third.  I think any time you have a prominent player, there's always discussion.  Anyone who you ask, whether there's resistance or discussion, that's up for debate.",CHRIS HIGGS,Individual,7
164,Football,"I think it affected our Team.  You know, I think collectively a lot of things affected our Team.  I do think that affected our Team.",MIKE LEACH,Team,4
165,Golf,We started on the back nine and I started off hitting a 5-iron in there probably 18 feet from the hole and knocked it in for birdie.,LOREN ROBERTS,Individual,1
166,Tennis," He was serving for the match at 5-1.  He was Love-all; he had hit a smash wide, real wide, and it was- -",WALLY MASUR,Individual,2
167,Golf," You know, that's a hard question to answer simply because you haven't replaced it with another event.  The answer would probably be yes, I would have played, and I would have taken the  same approach.",DAVID DUVAL,Individual,1
168,Hockey,"It was tough for him, first game back.  That's a big game.  Obviously they didn't get a whole lot of time up there, so it's hard to evaluate it that much.",CRAIG BERUBE,Team,4
169,Lacrosse,"Sure, I'm appreciative that the officials allowed it to be an aggressive game and they allowed big, physical contact to happen.",LARS TIFFANY,Team,8
170,Football,"  Well, you know, I don't think I was consciously thinking about the game at that time, but you pick up things if you're an independent kid.",JOSH HEUPEL,Team,7
171,Golf," We have world No. 1, Annika Sorenstam, the recent winner of the U.S. Women's Open and also the lady who won here in 2003.  There must be some good memories you have here.",COLIN CALLANDER,Individual,7
172,Basketball,"  Well, start off with our Captain, Sue Bird, just leading us and it goes from the starting five all the way down to the players on the bench as well.",NATASHA HOWARD,Team,5
173,Golf,"  I'm sure she is.  They're both great.  Pat was a pod captain last year too so I got to know her pretty well.  Yeah, they're both just great.",BRITTANY ALTOMARE,Individual,7
174,Football,I don't know that it's been a bit of a struggle and I think some of what's been identified as a struggle is explosive displays compared to what some of our Teams have done in the past.,MIKE LEACH,Team,8
175,Football,"Yes, we missed him in the first half and any conversations I have with him on whether he's coming back or what he's doing I will share with him and probably not anybody in here.",MIKE LEACH,Team,8
176,Tennis,Today I went to the net a lot.  I felt very good.  There are going to be players where I am going to have to come in more.  I am working on that.  It is much better.,GABRIELA SABATINI,Individual,1
177,Golf,"  You know, weather is really good and golf course is really good condition right now, so everybody -- I know everybody play well starting weekend, right?",CHELLA CHOI,Individual,6
178,Football," I think size-wise, they compare to Nebraska close enough, their center is about the same size, the way their tackles would be, physical.  Just the quickness of the center, I'd say probably the most they compare to is Nebraska.",RYAN FISHER,Team,7
179,Baseball,"  Lopez?  Yeah, I've faced him plenty of times, yeah, when he was with the Indians and this year with the Devil Rays.  He's a pitcher that comes right at you and I was looking to get at it right away.",CHUCK KNOBLAUCH,Team,7
180,Baseball,"We have a really good Team. We have a lot of good things going. We have -- we're trying to build the 2020 Team. Our energy's been spent on that. Obviously, it's been a different off-season for us.",AJ HINCH,Team,5
181,Basketball,"  Well, there's not uncertainty in my mind with LeBron James.  And [when] I took the job, we didn't have Anthony Davis.  We didn't have the whole Team.  It was a different Team after the fact.",FRANK VOGEL,Team,7
182,Golf," I think it's just work has been paying off and I did good last year, I just didn't have any wins.  But I was playing good.",GWLADYS NOCERA,Individual,2
183,Cricket,There's no doubt there's been a lot more time going into data and watching games. And there's so much footage now these days that you can't really hide.,MEG LANNING,Team,1
